Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fr.terminologies.json	472663	-	0	0	0	0	1	0	112	228	0	0	0	0	0	0	0	6	0	0	1412	1732	0	0	0	86	0	10
DM/fsh-generated/resources/CodeSystem-ActMood-supplement-fr.json	4842	5	0	0	1	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	20	570	0	1	0	1	0	0
DM/fsh-generated/resources/CodeSystem-ActPriority-supplement-fr.json	3936	5	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	60	0	0	0	0	0	0
DM/fsh-generated/resources/CodeSystem-ActStatus-supplement-fr.json	2503	5	0	0	0	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	12	47	0	0	0	0	0	0
DM/fsh-generated/resources/CodeSystem-AdministrativeGender-supplement-fr.json	1333	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	10	44	0	0	0	0	0	0
DM/fsh-generated/resources/CodeSystem-Confidentiality-supplement-fr.json	2110	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	11	43	0	0	0	1	0	0
DM/fsh-generated/resources/CodeSystem-ObservationInterpretation-supplement-fr.json	11381	4	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	37	64	0	0	0	0	0	0
DM/fsh-generated/resources/CodeSystem-ObservationMethod-supplement-fr.json	77821	9	0	0	0	0	0	0	7	41	0	0	1	0	0	0	0	0	0	0	145	163	0	0	0	6	0	0
DM/fsh-generated/resources/CodeSystem-ObservationValue-supplement-fr.json	4028	4	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	15	40	0	0	0	0	0	0
DM/fsh-generated/resources/CodeSystem-ParticipationFunction-supplement-fr.json	1720	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	11	32	0	0	0	0	0	0
