"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-acte-biologie-prescrit","fr-acte-biologie-prescrit","","","",0,*,"","","","null {[]} {[]}
","FR-Acte-biologie-prescrit","IHE-PCC - Observation Request                     Cette entrée est une spécialisation de l’entrée FR-Demande-d-examen-ou-de-suivi (1.2.250.1.213.1.1.3.27) qui permet de décrire une ligne de prescription d’examen de biologie médicale","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-acte-biologie-prescrit.observation","fr-acte-biologie-prescrit.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée Demande d'examen ou de suivi / Objectif à atteindre","Entrée Demande d'examen ou de suivi / Objectif à atteindre","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActPriority-cisis|20251028115833","",,,,"fr-acte-biologie-prescrit.observation",0,1,"",""
"fr-acte-biologie-prescrit.id","fr-acte-biologie-prescrit.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de la demande d’examen / de suivi","Identifiant de la demande d’examen / de suivi","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.id",1,1,"",""
"fr-acte-biologie-prescrit.code","fr-acte-biologie-prescrit.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: LOINC","Code de l'acte de biologie medicale issue du JDV circuit de la biologie
                          
                          Si l’examen n’est pas pré...","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.code",1,1,"",""
"fr-acte-biologie-prescrit.text","fr-acte-biologie-prescrit.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.text",1,1,"",""
"fr-acte-biologie-prescrit.reference","fr-acte-biologie-prescrit.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à la partie narrative de la section","Référence à la partie narrative de la section","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.reference",1,1,"",""
"fr-acte-biologie-prescrit.statusCode","fr-acte-biologie-prescrit.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de la demande","Statut de la demande","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-acte-biologie-prescrit.statusCode",1,1,"",""
"fr-acte-biologie-prescrit.effectiveTime","fr-acte-biologie-prescrit.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date prévisionnelle de l'examen
                          
                          Valeur fixée à nullFlavor=""UNK""","Date prévisionnelle de l'examen
                          
                          Valeur fixée à nullFlavor=""UNK""","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.effectiveTime",1,1,"",""
"fr-acte-biologie-prescrit.priorityCode","fr-acte-biologie-prescrit.priorityCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Urgence
                          
                          à créer si l'acte de biologie médicale est urgent avec la valeur :  
                    ...","Urgence
                          
                          à créer si l'acte de biologie médicale est urgent avec la valeur :  
                    ...","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActPriority-cisis|20251028115833","",,,,"fr-acte-biologie-prescrit.priorityCode",0,1,"",""
"fr-acte-biologie-prescrit.originalText","fr-acte-biologie-prescrit.originalText","","","",1,1,"","","","string {[]} {[]}
","Justification de l'urgence
                                  
                                  Référence vers le texte de la partie narrative de la s...","Justification de l'urgence
                                  
                                  Référence vers le texte de la partie narrative de la s...","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.originalText",1,1,"",""
"fr-acte-biologie-prescrit.value","fr-acte-biologie-prescrit.value","","","",0,1,"","","","string {[]} {[]}
","Valeur cible  
                              Utilisée par exemple pour INR.","Valeur cible  
                              Utilisée par exemple pour INR.","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.value",0,1,"",""
"fr-acte-biologie-prescrit.interpretationCode","fr-acte-biologie-prescrit.interpretationCode","","","",0,1,"","","","string {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.interpretationCode",0,1,"",""
"fr-acte-biologie-prescrit.methodCode","fr-acte-biologie-prescrit.methodCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode","Méthode","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.methodCode",0,1,"",""
"fr-acte-biologie-prescrit.targetSiteCode","fr-acte-biologie-prescrit.targetSiteCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Terminologies: SNOMED CT","OIDs: 2.16.840.1.113883.6.96","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.targetSiteCode",0,1,"",""
"fr-acte-biologie-prescrit.entryRelationship","fr-acte-biologie-prescrit.entryRelationship","","","",0,1,"","","","string {[]} {[]}
","Commentaire : précisions à apporter à certains examens.
                            Par exemple : dosage de médicament, précision à apporter sur la mo...","Commentaire : précisions à apporter à certains examens.
                            Par exemple : dosage de médicament, précision à apporter sur la mo...","","","","","","","","","",,,,,"",,,,"fr-acte-biologie-prescrit.entryRelationship",0,1,"",""
