"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-dicom-administration-produit-de-sante","fr-dicom-administration-produit-de-sante","","","",0,*,"","","","null {[]} {[]}
","FR-DICOM-Administration-produit-de-sante","DICOM Part 20 - Procedural Medication                 Cette entrée permet d'enregistrer l’administration de produits (hors radiopharmaceutiques) :                                                               produit administré                                                                   dose a...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-dicom-administration-produit-de-sante.substanceAdministration","fr-dicom-administration-produit-de-sante.substanceAdministration","","","",1,1,"","","","string {[]} {[]}
","Entrée FR-DICOM-Administration-produit-de-sante","Entrée FR-DICOM-Administration-produit-de-sante","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.substanceAdministration",1,1,"",""
"fr-dicom-administration-produit-de-sante.id","fr-dicom-administration-produit-de-sante.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.id",1,1,"",""
"fr-dicom-administration-produit-de-sante.text","fr-dicom-administration-produit-de-sante.text","","","",0,1,"","","","string {[]} {[]}
","Partie narrative de l'entrée","Partie narrative de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.text",0,1,"",""
"fr-dicom-administration-produit-de-sante.reference","fr-dicom-administration-produit-de-sante.reference","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.reference",0,1,"",""
"fr-dicom-administration-produit-de-sante.statusCode","fr-dicom-administration-produit-de-sante.statusCode","","","",1,1,"","","","code {[]} {[]}
","Status de l'entrée","Status de l'entrée","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.statusCode",1,1,"",""
"fr-dicom-administration-produit-de-sante.routeCode","fr-dicom-administration-produit-de-sante.routeCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Voie d'administration 
                         
                        
                            Terminologie utilisée :  EDQM - Standard terms /...","Voie d'administration 
                         
                        
                            Terminologie utilisée :  EDQM - Standard terms /...","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.routeCode",0,1,"",""
"fr-dicom-administration-produit-de-sante.doseQuantity","fr-dicom-administration-produit-de-sante.doseQuantity","","","",0,1,"","","","string {[]} {[]}
","Dose à administrer
                          S'il n'y a pas de traitement, utiliser une valeur nullFlavor.  S'il y a un traitement, les sous-éléments ...","Dose à administrer
                          S'il n'y a pas de traitement, utiliser une valeur nullFlavor.  S'il y a un traitement, les sous-éléments ...","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.doseQuantity",0,1,"",""
"fr-dicom-administration-produit-de-sante.low","fr-dicom-administration-produit-de-sante.low","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.low",0,1,"",""
"fr-dicom-administration-produit-de-sante.translation","fr-dicom-administration-produit-de-sante.translation","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.translation",0,1,"",""
"fr-dicom-administration-produit-de-sante.originalText","fr-dicom-administration-produit-de-sante.originalText","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.originalText",1,1,"",""
"fr-dicom-administration-produit-de-sante.high","fr-dicom-administration-produit-de-sante.high","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.high",0,1,"",""
"fr-dicom-administration-produit-de-sante.consumable","fr-dicom-administration-produit-de-sante.consumable","","","",1,1,"","","","string {[]} {[]}
","Médicament","Médicament","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.consumable",1,1,"",""
"fr-dicom-administration-produit-de-sante.manufacturedProduct","fr-dicom-administration-produit-de-sante.manufacturedProduct","","","",1,1,"","","","string {[]} {[]}
","Produit de santé","Produit de santé","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.manufacturedProduct",1,1,"",""
"fr-dicom-administration-produit-de-sante.manufacturedMaterial","fr-dicom-administration-produit-de-sante.manufacturedMaterial","","","",1,1,"","","","string {[]} {[]}
","Terminologies: UCD, CIP","OIDs: 1.2.250.1.213.2.61, 1.2.250.1.213.2.3.2","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.manufacturedMaterial",1,1,"",""
"fr-dicom-administration-produit-de-sante.name","fr-dicom-administration-produit-de-sante.name","","","",0,1,"","","","string {[]} {[]}
","Nom de marque du produit","Nom de marque du produit","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.name",0,1,"",""
"fr-dicom-administration-produit-de-sante.lotNumberText","fr-dicom-administration-produit-de-sante.lotNumberText","","","",0,1,"","","","string {[]} {[]}
","Numéro de lot","Numéro de lot","","","","","","","","","",,,,,"",,,,"fr-dicom-administration-produit-de-sante.lotNumberText",0,1,"",""
