"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-dicom-observation","fr-dicom-observation","","","",0,*,"","","","null {[]} {[]}
","FR-DICOM-Observation","DICOM Part 20 - Coded Observation                                                               Cette entrée permet d’enregistrer une observation avec une valeur codée ou textuelle.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-dicom-observation.observation","fr-dicom-observation.observation","","","",0,1,"","","","string {[]} {[]}
","Conformité FR-DICOM-Observation (CI-SIS)","Conformité FR-DICOM-Observation (CI-SIS)","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-observation.observation",0,1,"",""
"fr-dicom-observation.id","fr-dicom-observation.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.id",1,1,"",""
"fr-dicom-observation.code","fr-dicom-observation.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.code",1,1,"",""
"fr-dicom-observation.text","fr-dicom-observation.text","","","",0,1,"","","","string {[]} {[]}
","Partie narrative de l'observation","Partie narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.text",0,1,"",""
"fr-dicom-observation.reference","fr-dicom-observation.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.reference",1,1,"",""
"fr-dicom-observation.statusCode","fr-dicom-observation.statusCode","","","",1,1,"","","","code {[]} {[]}
","status de l'observation","status de l'observation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis|20251028115833","",,,,"fr-dicom-observation.statusCode",1,1,"",""
"fr-dicom-observation.effectiveTime","fr-dicom-observation.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'observation","Date de l'observation","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.effectiveTime",0,1,"",""
"fr-dicom-observation.value","fr-dicom-observation.value","","","",1,1,"","","","string {[]} {[]}
","Valeur de l'observation","Valeur de l'observation","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.value",1,1,"",""
"fr-dicom-observation.originalText","fr-dicom-observation.originalText","","","",0,*,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.originalText",0,*,"",""
"fr-dicom-observation.interpretationCode","fr-dicom-observation.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","non utilisé","non utilisé","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.interpretationCode",0,1,"",""
"fr-dicom-observation.methodCode","fr-dicom-observation.methodCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","non utilisé","non utilisé","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.methodCode",0,1,"",""
"fr-dicom-observation.targetSiteCode","fr-dicom-observation.targetSiteCode","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Localisation anatomique","Localisation anatomique","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-observation.targetSiteCode",1,1,"",""
"fr-dicom-observation.qualifier","fr-dicom-observation.qualifier","","","",0,*,"","","","string {[]} {[]}
","Précision topographique","Précision topographique","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-modificateur-topographique-cisis|20251028115832","",,,,"fr-dicom-observation.qualifier",0,*,"",""
"fr-dicom-observation.name","fr-dicom-observation.name","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.name",1,1,"",""
"fr-dicom-observation.entryRelationship","fr-dicom-observation.entryRelationship","","","",0,*,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-dicom-observation.entryRelationship",0,*,"",""
