"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-liste-des-observations","fr-liste-des-observations","","","",0,*,"","","","null {[]} {[]}
","FR-Liste-des-observations","IHE-APSR - Problem Organizer                                                                Cette entrée permet de regrouper les observations et les images prises pour analyser un problème identifié sur un échantillon ou sur un groupe d'échantillons. Elle permet aussi de regrouper les problèmes liés...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-liste-des-observations.organizer","fr-liste-des-observations.organizer","","","",0,*,"","","","string {[]} {[]}
","Entrée liste des observations","Entrée liste des observations","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.organizer",0,*,"",""
"fr-liste-des-observations.id","fr-liste-des-observations.id","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.id",0,*,"",""
"fr-liste-des-observations.code","fr-liste-des-observations.code","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.code",0,1,"",""
"fr-liste-des-observations.qualifier","fr-liste-des-observations.qualifier","","","",0,*,"","","","string {[]} {[]}
","Type de problème","Type de problème","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.qualifier",0,*,"",""
"fr-liste-des-observations.name","fr-liste-des-observations.name","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.name",0,1,"",""
"fr-liste-des-observations.value","fr-liste-des-observations.value","","","",0,*,"","","","CodeableConcept {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.value",0,*,"",""
"fr-liste-des-observations.statusCode","fr-liste-des-observations.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'entrée","Statut de l'entrée","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.statusCode",1,1,"",""
"fr-liste-des-observations.effectiveTime","fr-liste-des-observations.effectiveTime","","","",1,1,"","","","dateTime {[]} {[]}
","Date à laquelle les résultats ont été saisis","Date à laquelle les résultats ont été saisis","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.effectiveTime",1,1,"",""
"fr-liste-des-observations.observation","fr-liste-des-observations.observation","","","",0,1,"","","","string {[]} {[]}
","Précision sur le type de problème","Précision sur le type de problème","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.observation",0,1,"",""
"fr-liste-des-observations.sequenceNumber","fr-liste-des-observations.sequenceNumber","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.sequenceNumber",0,1,"",""
"fr-liste-des-observations.reference","fr-liste-des-observations.reference","","","",0,*,"","","","string {[]} {[]}
","Référence externe","Référence externe","","","","","","","","","",,,,,"",,,,"fr-liste-des-observations.reference",0,*,"",""
