"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-observation-sur-echelle-douleur","fr-observation-sur-echelle-douleur","","","",0,*,"","","","null {[]} {[]}
","FR-Observation-sur-echelle-douleur","IHE-PCC - Pain Score Observation                                                               Cette entrée permet d'enregistrer l'évaluation du patient de sa douleur sur une échelle de 1 à 10.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-observation-sur-echelle-douleur.observation","fr-observation-sur-echelle-douleur.observation","","","",0,1,"","","","string {[]} {[]}
","Entrée observation sur échelle de douleur","Entrée observation sur échelle de douleur","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-evaluation-douleur-cisis|20250624152100","",,,,"fr-observation-sur-echelle-douleur.observation",0,1,"",""
"fr-observation-sur-echelle-douleur.id","fr-observation-sur-echelle-douleur.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'observation","Identifiant de l'observation","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.id",1,1,"",""
"fr-observation-sur-echelle-douleur.code","fr-observation-sur-echelle-douleur.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'observation","Code de l'observation","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.code",1,1,"",""
"fr-observation-sur-echelle-douleur.text","fr-observation-sur-echelle-douleur.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative de l'observation","Description narrative de l'observation","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.text",1,1,"",""
"fr-observation-sur-echelle-douleur.reference","fr-observation-sur-echelle-douleur.reference","","","",1,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.reference",1,1,"",""
"fr-observation-sur-echelle-douleur.statusCode","fr-observation-sur-echelle-douleur.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.statusCode",1,1,"",""
"fr-observation-sur-echelle-douleur.effectiveTime","fr-observation-sur-echelle-douleur.effectiveTime","","","",0,1,"","","","Period {[]} {[]}
","Date de l'observation
                          L'élément ""effectiveTime"" doit être présent dans une observation autonome (c'est-à-dire une observatio...","Date de l'observation
                          L'élément ""effectiveTime"" doit être présent dans une observation autonome (c'est-à-dire une observatio...","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.effectiveTime",0,1,"",""
"fr-observation-sur-echelle-douleur.repeatNumber","fr-observation-sur-echelle-douleur.repeatNumber","","","",0,1,"","","","string {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.repeatNumber",0,1,"",""
"fr-observation-sur-echelle-douleur.value","fr-observation-sur-echelle-douleur.value","","","",1,1,"","","","string {[]} {[]}
","Valeur de l'observation
                          entier de 0 à 10","Valeur de l'observation
                          entier de 0 à 10","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.value",1,1,"",""
"fr-observation-sur-echelle-douleur.interpretationCode","fr-observation-sur-echelle-douleur.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-evaluation-douleur-cisis|20250624152100","",,,,"fr-observation-sur-echelle-douleur.interpretationCode",0,1,"",""
"fr-observation-sur-echelle-douleur.targetSiteCode","fr-observation-sur-echelle-douleur.targetSiteCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Localisation de la douleur","Localisation de la douleur","","","","","","","","","",,,,,"",,,,"fr-observation-sur-echelle-douleur.targetSiteCode",0,1,"",""
