"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-signe-vital-observe","fr-signe-vital-observe","","","",0,*,"","","","null {[]} {[]}
","FR-Signe-vital-observé","IHE-PCC - Vital Signs Observation                                                               Cette entrée permet d'indiquer les informations détaillées relatives à une mesure clinique spécifique.                                                                    Cette entrée est utilisée dans un ...","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-signe-vital-observe.observation","fr-signe-vital-observe.observation","","","",1,1,"","","","string {[]} {[]}
","Entrée Signe vital observé","Entrée Signe vital observé","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ObservationInterpretation-cisis|20251028115834","",,,,"fr-signe-vital-observe.observation",1,1,"",""
"fr-signe-vital-observe.id","fr-signe-vital-observe.id","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'entrée","Identifiant de l'entrée","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.id",1,1,"",""
"fr-signe-vital-observe.code","fr-signe-vital-observe.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Signe vital observé","Signe vital observé","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-signe-vital-cisis|20251028115835","",,,,"fr-signe-vital-observe.code",1,1,"",""
"fr-signe-vital-observe.text","fr-signe-vital-observe.text","","","",1,1,"","","","string {[]} {[]}
","Description narrative","Description narrative","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.text",1,1,"",""
"fr-signe-vital-observe.reference","fr-signe-vital-observe.reference","","","",1,1,"","","","string {[]} {[]}
","Référence à la description narrative","Référence à la description narrative","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.reference",1,1,"",""
"fr-signe-vital-observe.statusCode","fr-signe-vital-observe.statusCode","","","",1,1,"","","","code {[]} {[]}
","Statut de l'observation","Statut de l'observation","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.statusCode",1,1,"",""
"fr-signe-vital-observe.effectiveTime","fr-signe-vital-observe.effectiveTime","","","",1,1,"","","","Period {[]} {[]}
","Date de l'observation
                          L'élément <effectiveTime> précise la date de l'observation clinique et doit être présente.  Cet élémen...","Date de l'observation
                          L'élément <effectiveTime> précise la date de l'observation clinique et doit être présente.  Cet élémen...","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.effectiveTime",1,1,"",""
"fr-signe-vital-observe.value","fr-signe-vital-observe.value","","","",1,1,"","","","Quantity {[]} {[]}
","Observation effectuée
                        
                        Terminologie utilisée : UCUM (2.16.840.1.113883.6.8)","OIDs: 2.16.840.1.113883.6.8","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.value",1,1,"",""
"fr-signe-vital-observe.interpretationCode","fr-signe-vital-observe.interpretationCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Interprétation","Interprétation","","","","","","","","","",,"required","","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ObservationInterpretation-cisis|20251028115834","",,,,"fr-signe-vital-observe.interpretationCode",0,1,"",""
"fr-signe-vital-observe.methodCode","fr-signe-vital-observe.methodCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Méthode utilisée pour l'observation","Méthode utilisée pour l'observation","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.methodCode",0,1,"",""
"fr-signe-vital-observe.targetSiteCode","fr-signe-vital-observe.targetSiteCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Site de l'observation","Site de l'observation","","","","","","","","","",,,,,"",,,,"fr-signe-vital-observe.targetSiteCode",0,1,"",""
