Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fr.terminologies.json	598003	-	0	0	1	0	0	0	82	835	0	0	0	0	0	0	0	6	0	0	1865	2515	0	0	1	86	0	18
DM/fsh-generated/resources/ConceptMap-ASS-A11-CorresModeleCDA-XdsFormatCode-CISIS.json	21171	9	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	71	734	0	0	0	2	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A12-CorresMediaTypeCDANonStructure-XdsFormatCode-CISIS.json	2759	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	14	42	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A13-TypeEvenement-FluxStandardise.json	2155	5	0	0	0	0	0	0	0	713	0	0	0	0	0	0	0	0	0	0	12	54	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A14-FamilleActivite-ActiviteOperationnelle.json	13013	6	0	0	1	0	0	0	1	69	0	0	0	0	0	0	0	0	0	0	39	102	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A15-SexeProvenanceISO-Sexe.json	1806	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A20-RolePriseCharge-GenreActivite.json	4529	4	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	18	32	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A21-AS-ActiviteModaliteForme.json	100220	8	0	0	0	0	0	0	2	89	0	0	0	0	0	0	0	1	0	0	188	138	0	0	0	5	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A22-AASA-ActiviteModaliteForme.json	10113	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	32	43	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A23-ASR-ActiviteModaliteForme.json	70038	7	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	126	96	0	0	0	4	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A24-ModeExercice-TypeActivite-ENREG.json	1637	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	37	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A25-PaysProvenanceISO-PaysProvenanceCOG.json	44103	7	0	0	0	0	0	0	1	88	0	0	0	0	0	0	0	0	0	0	99	98	0	0	0	3	0	1
DM/fsh-generated/resources/ConceptMap-ASS-A28-TypeDiplome-Diplome-Profession-EPARS.json	31248	8	0	0	1	0	0	0	1	22	0	0	0	0	0	0	0	1	0	0	66	53	0	0	0	2	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A29-Departement-AE.json	20004	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	47	61	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A30-TypeAutorisation-Profession-EPARS.json	13362	4	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	36	50	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A32-StatutMotifPersonnePriseCharge.json	773	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	24	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-A33-AdministrativeGender-Sexe.json	1997	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	33	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X01-TranscoSavFaireADELI-SavFaireR01.json	784	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	33	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X02-TranscoSectActADELI-SectAct.json	12980	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	36	48	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X04-CorrespondanceType-Classe-CISIS.json	25316	4	0	0	0	0	0	0	1	20677	0	0	0	0	0	0	0	0	0	0	61	71	0	0	0	2	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X08-TranscoSavoirFaireR01-SavoirFaire.json	51608	6	0	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	119	116	0	0	0	4	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X09-DepartementOM-RegionOM.json	23980	4	0	0	1	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	54	64	0	0	0	1	0	1
DM/fsh-generated/resources/ConceptMap-ASS-X10-AgregatCategorieEtablissement.json	769	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	24	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X11-FinessAgregatStatutJuridique.json	764	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	27	0	0	0	1	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X12-CommuneDeptRegionOM.json	788	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	19	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X13-AgregatClientele.json	56332	5	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	1	0	0	99	67	0	0	0	3	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X14-AgregatDisciplineEquipementSocial.json	789	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	22	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X15-AgregatDisciplineEnseignement.json	769	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	25	0	0	0	0	0	0
DM/fsh-generated/resources/ConceptMap-ASS-X16-CorrespondanceType-Classe-DMP.json	20573	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	49	53	0	1	0	1	0	0
DM/fsh-generated/resources/ValueSet-JDV-J120-CommuneHistorisee.json	1188	3	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	10	4400	0	0	0	1	0	0
DM/fsh-generated/resources/ValueSet-JDV-J124-Commune.json	1299	3	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	12	1748	0	0	0	0	0	0
DM/fsh-generated/resources/ValueSet-JDV-ModeleDocumentCDA.json	1419	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	221	0	0	0	0	0	0
DM/fsh-generated/resources/ValueSet-JDV-TRE-R221-ModeleDocumentCDANonStructure-all.json	1363	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	9	35	0	0	0	2	0	0
DM/fsh-generated/resources/ValueSet-TRE-R222-MediaTypeCorpsCDANonStructure-all.json	1310	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	39	0	0	0	0	0	0
input/ontoserver/ASS/Alignement_Codes_ATC_NUVA_ATC.json	23033	5	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	67	29	0	0	0	2	0	0
input/ontoserver/ASS/Alignement_Codes_CIP_CIS_NUVA_BDPM.json	59761	5	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	156	51	0	0	0	6	0	0
input/ontoserver/ASS/Alignement_Codes_CIP_NUVA_CIPUCD.json	49436	8	0	0	1	0	0	0	2	28	0	0	0	0	0	0	0	1	0	0	152	56	0	0	0	6	0	1
input/ontoserver/ASS/Alignement_Codes_Presentation_BDPM_CIPUCD.json	5928014	280	0	0	0	0	0	0	115	1170	0	0	0	0	0	0	0	34	0	0	15341	3243	0	0	0	623	0	20
input/ontoserver/JDV/AVC_CddFA_1.2.250.1.213.1.1.4.321.10.json	1152	3	0	0	0	0	0	0	0	1230	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	1	0	0
input/ontoserver/JDV/AVC_InterpretationScoreFisher_1.2.250.1.213.1.1.4.321.46.json	1278	2	0	0	0	0	0	0	0	601	0	0	0	0	0	0	0	0	0	0	10	44	0	0	0	0	0	0
input/ontoserver/JDV/AVC_NIHSSAtaxInt_1.2.250.1.213.1.1.4.321.31.json	1176	5	0	0	0	0	0	0	0	619	0	0	0	0	0	0	0	0	0	0	9	39	0	0	0	0	0	0
